grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
BA-96,4,7,250.16,18.46,2,1,835,4803
BB-96,2,2,156.6,15,1,1,48,4804
BC-96,3,5,139.4,0,0,1,144,4805
BD-96,2,2,93.6,0,1,1,173,4806
BE-96,17,19,762.32,34.46,7,8,8270,4807
BF-96,9,11,428.53,53.07,4,4,1384,4808
BG-96,1,1,113.5,22.7,1,0,2,4809
BH-96,33,57,2067.32,343.9,25,4,18474,4810
BL-96,1,1,43.3,0,0,1,1762,4813
BN-96,6,7,223.15,11.6,4,2,5107,4814
BO-96,28,28,461.69,43.99,19,9,20957,4815
BP-96,1,2,13.56,2.26,1,0,710,4816
BQ-96,16,24,503.32,14.22,6,5,9468,4817
BR-96,37,45,2991.82,376.67,27,7,11974,4818
BS-96,189,285,8440.86,1050.58,137,40,136295,4819
BT-96,108,119,2763.32,235.55,73,34,149976,4820
BU-96,72,96,2066.21,158.37,40,26,60529,4821
BV-96,106,129,5388.89,712.25,78,24,33106,4822
BW-96,178,238,8528.54,1183.05,124,38,131451,4823
BX-96,502,707,32622.31,3866.59,370,78,92632,4824
BY-96,117,146,4155.79,459.05,79,33,54144,4825
BZ-96,30,47,536.48,47.94,17,13,29976,4826
CA-96,143,240,2445.88,272.11,90,51,211409,4827
CB-96,10281,17334,178855.42,20322.02,7234,2960,10230184,4828
CC-96,540164,890915,8580350.64,1058249.22,403536,134730,514518506,4829
CD-96,1124101,1898944,16308579.31,1830862.72,768209,351882,1058961378,4830
CE-96,1571428,2660405,23118462.86,2590265.35,1090877,474599,1507270591,4831
CF-96,1337697,2253372,19665563.62,2298634.39,964324,368400,1224692521,4832
CG-96,760129,1293404,11842589.22,1352280.46,533246,223641,736237410,4833
CH-96,294122,497966,4365705.97,485674.95,204437,88369,272780112,4834
CI-96,1171,2050,23447.88,2515.31,732,422,1341616,4835
CJ-96,42,47,622.81,63.67,26,16,36942,4836
CK-96,28642,50978,542091.44,62581.29,20804,7647,34270896,4837
CL-96,16271,27378,256452.24,29953.44,11061,5089,14425068,4838
CM-96,34677,57046,526118.93,57833.53,21630,12765,30481919,4839
CN-96,3297,5403,50734.52,5958.57,2148,1121,2776115,4840
CO-96,2174,3774,43856.62,4785.91,1216,933,2366034,4841
CP-96,326,529,11012.91,1486.87,199,114,362991,4842
CQ-96,7,9,76.92,10.32,5,2,3470,4843
CR-96,64,116,1097.99,169.67,40,24,54275,4844
CS-96,73,113,1709.94,183.01,35,36,69950,4845
CT-96,1313,2089,54463.98,5469.29,744,551,1722646,4846
CU-96,511,841,7541.48,454.33,143,362,519339,4847
CV-96,1599,2564,60494.31,5904.5,748,819,2074781,4848
CW-96,70,112,1322.88,87.6,27,42,57869,4849
CX-96,67,108,1162.8,113.12,37,26,55647,4850
CY-96,55,76,901.74,75.72,20,34,41747,4851
CZ-96,703,1236,14277.16,1171.56,269,428,625097,4852
DA-96,890,1440,17132,1075.75,282,597,814279,4853
DB-96,199,303,4535.62,447.41,119,78,194866,4854
DC-96,336,545,6275.07,504.91,151,180,395540,4855
DD-96,3217,5136,80258.67,7622.57,1639,1546,4584352,4856
DE-96,6647,9726,109309.86,8832.02,2992,3616,5393789,4857
DF-96,682,1223,36192.03,3883.66,409,258,1264434,4858
DG-96,196,310,10994.94,1074.43,113,77,339838,4859
DH-96,90,153,1890.55,180.69,37,52,92505,4860
DI-96,110,167,2518.01,225.89,49,59,109719,4861
DJ-96,173,268,3661.37,337.87,68,102,146098,4862
DK-96,196,315,3216.72,212.36,76,115,143478,4863
DL-96,51,74,1072.84,96.3,30,21,46857,4864
DM-96,39,79,853.07,76.75,15,23,36397,4865
DN-96,121,216,2204.4,111.82,40,76,102161,4866
DO-96,10,15,190.54,19.5,6,4,8311,4867
DP-96,19,23,475.12,69.3,8,9,13352,4868
DQ-96,8,10,326.89,43.37,5,2,11459,4869
DR-96,93,152,1252.5,88.08,45,43,60481,4870
DS-96,185,283,3461.99,169.97,78,101,159558,4871
DT-96,128,214,3440.56,148.14,30,92,113069,4872
DU-96,10,17,266.25,11.25,5,5,12195,4873
DV-96,18,21,796.86,514.46,7,11,9705,4874
DW-96,14,17,333.17,24.93,5,8,12635,4875
DX-96,60,72,1181.06,21.55,7,51,40326,4876
DY-96,87,110,2461.34,219.43,31,53,178767,4877
DZ-96,36,53,1058.93,32.11,11,23,37205,4878
EA-96,1,1,76.3,0,1,0,39,4879
EB-96,12,22,517.64,9.46,6,5,10257,4880
EC-96,2,3,142.6,15,2,0,3125,4881
ED-96,3,5,76.05,1.5,1,1,2178,4882
EE-96,3,3,182.95,46.05,2,1,90,4883
EG-96,2,3,162.65,19.8,2,0,972,4885
EH-96,1,1,120.3,10,1,0,50,4886
EI-96,5,5,251.3,46.6,3,0,215,4887
EJ-96,6,6,354.66,32.46,3,3,624,4888
EK-96,2,2,147.65,24.05,1,1,102,4889
EM-96,37,43,2821.02,370.13,26,8,9705,4891
EN-96,1,1,103.3,10,1,0,35,4892
EO-96,3,4,176.6,16.45,3,0,999,4893
EP-96,1,4,96.35,16.05,1,0,46,4894
ES-96,19,20,341.53,40.83,15,4,14789,4897
ET-96,4,4,57.4,7.7,3,1,2964,4898
EU-96,3,3,222.2,130,2,1,1370,4899
EV-96,65,84,5579.48,548.48,37,12,8526,4900
EW-96,1,1,3.8,0,0,0,3,4901
EX-96,4,5,223.7,0,0,4,3992,4902
EY-96,1,1,88.8,0,1,0,80094,4903
FA-96,6,6,285.58,11.74,2,4,2821,4905
FB-96,6,11,504.55,68.71,3,2,4513,4906
FC-96,1,1,149.5,149.2,1,0,186,4907
FD-96,2,4,182.59,33.95,1,1,4375,4908
FE-96,4,4,240.6,20,1,2,436,4909
FF-96,1,1,150.3,10,1,0,26,4910
FM-96,3,4,222.9,20,1,1,1281,4917
FN-96,1,1,210.36,35.06,1,0,141,4918
FP-96,1,1,0.3,0,0,1,522,4920
FV-96,1,1,217.61,36.27,1,0,175,4926
FY-96,1,1,165.3,15,1,0,2385,4929
GF-96,1,1,25.8,0,0,1,1781,4931
GH-96,1,1,19.3,0,0,0,1052,4933
HA-96,1,1,5.8,0,0,1,204,4944
N-95,2,2,168.65,28.05,1,0,114,4961
O-95,1,1,200.3,0,0,1,27,4962
P-95,1,1,170.3,50,1,0,29,4963
R-95,1,1,90.3,5,1,0,106,4964
T-95,1,1,156.35,26.05,1,0,16,4966
W-95,2,2,266.15,10,1,1,275,4969
X-95,3,3,160.06,20.16,1,2,1580,4970
Y-95,2,6,134.04,5,1,1,550,4971
Z-95,1,1,126.35,21.05,1,0,109,4972
AA-95,7,9,450.6,96,4,2,429,4973
AB-95,1,1,120.35,20.05,1,0,49,4974
AE-95,6,8,558.35,30.55,5,1,186,4977
AH-95,1,1,0.3,0,0,0,52,4980
AI-95,4,5,436.54,57.3,3,1,116,4981
AJ-95,6,7,435.1,33.05,4,2,295,4982
AN-95,3,3,123.9,10,1,0,97,4986
AP-95,2,2,154.1,65,2,0,345,4988
AQ-95,2,2,94.64,8,2,0,1586,4989
AR-95,1,3,0.3,0,0,0,52,4990
AS-95,2,2,20.6,0,0,0,165,4991
AV-95,3,3,67.9,7,3,0,485,4994
AW-95,7,7,87.38,7.28,5,2,5329,4995
AX-95,1,2,21.82,0.02,1,0,987,4996
AZ-95,2,2,53.65,6.05,1,0,585,4998
BA-95,13,15,765.77,32.61,7,5,496,4999
BB-95,4,4,229.9,40.6,2,2,1175,5000
BC-95,6,8,462.95,41.15,4,2,279,5001
BD-95,5,12,478.3,26.05,3,2,858,5002
