grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
CC-75,10,14,995.87,93.21,7,2,26104,8692
CD-75,28,54,2039.37,217.36,20,7,51457,8693
CE-75,17,21,1425.37,104.91,13,4,33088,8694
CF-75,49,64,4321.1,304.69,33,16,105284,8695
CG-75,109,154,8670.45,775.32,77,29,197616,8696
CH-75,51,92,4048.67,353.84,29,19,96175,8697
CI-75,177,243,13614.4,1211.73,119,46,401306,8698
CJ-75,10,15,629.73,60.11,5,5,15888,8699
CK-75,8,11,92.68,5.78,3,5,5116,8700
CL-75,12,24,254.05,29.45,9,3,12251,8701
CM-75,56016,93922,1283631.17,124406.38,34126,21557,67239701,8702
CN-75,80288,134714,1955355.67,182170.13,47164,32525,100646917,8703
CO-75,12747,21818,283292.35,17164.22,5655,6938,16047349,8704
CP-75,4588,7688,112166.95,5780.52,1811,2708,5647859,8705
CQ-75,8440,14307,230687.68,15504.44,3800,4531,13281894,8706
CR-75,11409,18881,306054.19,13996.91,4231,7039,17516626,8707
CS-75,5037,8607,140557.24,5211.1,1915,3046,8238260,8708
CT-75,4506,7809,132339.62,6069.06,1869,2575,8030189,8709
CU-75,2930,4906,86436.41,3716.34,1097,1791,5131833,8710
CV-75,1710,2904,54376.53,2294.43,635,1048,2981971,8711
CW-75,2785,4737,91788.61,4513,1251,1491,4727615,8712
CX-75,1149,1918,39188.95,1748.39,468,662,2039299,8713
CY-75,3184,5505,103206.68,3865.68,1100,2030,5239942,8714
CZ-75,2460,4090,86722.33,3520.32,871,1540,4368258,8715
DA-75,3080,5251,108060.04,4763.09,1117,1902,5291372,8716
DB-75,6511,10933,243830.37,15047.83,3039,3385,11984672,8717
DC-75,2818,4817,104540.48,5741.97,1235,1544,5264041,8718
DD-75,1646,2769,62444.42,3343.1,724,895,3106799,8719
DE-75,145,231,5427.99,264.27,53,88,229690,8720
DF-75,144,233,6030.94,236.32,47,93,221825,8721
DG-75,823,1445,32892.37,2085.92,368,449,1341508,8722
DH-75,771,1266,33289.36,2942.28,448,317,1571705,8723
DI-75,727,1272,32279.83,2624.17,393,327,1610698,8724
DS-75,2,4,122.76,21.58,2,0,2818,8725
DT-75,7,9,488.64,21,5,2,20505,8726
DU-75,5,6,564.1,55.02,3,2,16138,8727
DV-75,3,4,103.4,0,0,3,4172,8728
